,fecha,Menor 1 año,1 a 4 años,5 a 14,15 a 44,45 a 64,65 a 84,85 y más ,total_defunciones
2374,2023-06-18,2.0,,,12.0,23.0,80.0,47.0,164.0
2375,2023-06-19,2.0,,,8.0,12.0,62.0,47.0,131.0
2376,2023-06-20,,,1.0,13.0,27.0,65.0,48.0,154.0
2377,2023-06-21,1.0,,,5.0,23.0,53.0,50.0,132.0
2378,2023-06-22,1.0,,1.0,12.0,24.0,62.0,41.0,141.0
2379,2023-06-23,2.0,,,8.0,28.0,58.0,42.0,138.0
2380,2023-06-24,2.0,,,11.0,18.0,56.0,55.0,142.0
2381,2023-06-25,,,,9.0,19.0,48.0,34.0,110.0
2382,2023-06-26,,1.0,1.0,11.0,25.0,66.0,37.0,141.0
2383,2023-06-27,1.0,,1.0,9.0,17.0,49.0,38.0,115.0
2384,2023-06-28,,,1.0,9.0,21.0,58.0,47.0,136.0
2385,2023-06-29,,,,14.0,23.0,74.0,55.0,166.0
2386,2023-06-30,1.0,,,10.0,19.0,56.0,32.0,118.0
2387,2023-07-01,2.0,,1.0,9.0,26.0,59.0,42.0,139.0
2388,2023-07-02,,,,10.0,25.0,57.0,38.0,130.0
2389,2023-07-03,2.0,,1.0,7.0,17.0,64.0,48.0,139.0
2390,2023-07-04,1.0,,1.0,9.0,20.0,63.0,36.0,130.0
2391,2023-07-05,,,1.0,13.0,30.0,70.0,41.0,155.0
2392,2023-07-06,1.0,,1.0,10.0,20.0,53.0,51.0,136.0
2393,2023-07-07,2.0,1.0,,6.0,22.0,62.0,46.0,139.0
2394,2023-07-08,2.0,,,6.0,14.0,67.0,42.0,131.0
2395,2023-07-09,1.0,,,11.0,23.0,55.0,49.0,139.0
2396,2023-07-10,,,,9.0,24.0,60.0,53.0,146.0
2397,2023-07-11,2.0,,,6.0,21.0,55.0,42.0,126.0
2398,2023-07-12,1.0,,1.0,10.0,26.0,60.0,40.0,138.0
2399,2023-07-13,,,1.0,14.0,31.0,66.0,33.0,145.0
2400,2023-07-14,3.0,,,10.0,24.0,63.0,57.0,157.0
2401,2023-07-15,,,,7.0,21.0,65.0,52.0,145.0
2402,2023-07-16,,,1.0,5.0,18.0,54.0,32.0,110.0
2403,2023-07-17,,,,11.0,23.0,60.0,44.0,138.0
2404,2023-07-18,,1.0,,4.0,30.0,69.0,45.0,149.0
2405,2023-07-19,1.0,,,12.0,23.0,57.0,45.0,138.0
2406,2023-07-20,,,,6.0,14.0,62.0,35.0,117.0
2407,2023-07-21,,,,10.0,23.0,47.0,36.0,116.0
2408,2023-07-22,4.0,,,10.0,20.0,53.0,48.0,135.0
2409,2023-07-23,2.0,,,6.0,16.0,42.0,31.0,97.0
2410,2023-07-24,,1.0,,9.0,25.0,47.0,45.0,127.0
2411,2023-07-25,2.0,,,5.0,20.0,70.0,44.0,141.0
2412,2023-07-26,,,,5.0,23.0,44.0,32.0,104.0
2413,2023-07-27,1.0,,,10.0,24.0,49.0,40.0,124.0
2414,2023-07-28,,,,13.0,22.0,51.0,38.0,124.0
2415,2023-07-29,,,,8.0,21.0,52.0,49.0,130.0
2416,2023-07-30,2.0,,1.0,5.0,25.0,42.0,44.0,119.0
2417,2023-07-31,1.0,,,7.0,19.0,64.0,34.0,125.0
2418,2023-08-01,1.0,,,13.0,20.0,64.0,50.0,148.0
2419,2023-08-02,1.0,,,7.0,26.0,53.0,44.0,131.0
2420,2023-08-03,,,,5.0,22.0,57.0,30.0,114.0
2421,2023-08-04,1.0,1.0,1.0,10.0,19.0,62.0,41.0,135.0
2422,2023-08-05,2.0,,,8.0,9.0,57.0,36.0,112.0
2423,2023-08-06,1.0,,,6.0,22.0,48.0,33.0,110.0
2424,2023-08-07,1.0,,,9.0,19.0,53.0,34.0,116.0
2425,2023-08-08,,1.0,,11.0,25.0,54.0,39.0,130.0
2426,2023-08-09,2.0,1.0,,2.0,15.0,55.0,36.0,111.0
2427,2023-08-10,2.0,,,12.0,26.0,63.0,32.0,135.0
2428,2023-08-11,2.0,,,5.0,16.0,64.0,34.0,121.0
2429,2023-08-12,,,,5.0,30.0,61.0,38.0,134.0
2430,2023-08-13,,,,6.0,25.0,51.0,37.0,119.0
2431,2023-08-14,1.0,,1.0,9.0,22.0,60.0,48.0,141.0
2432,2023-08-15,,,,12.0,22.0,56.0,42.0,132.0
2433,2023-08-16,,,,4.0,22.0,64.0,28.0,118.0
2434,2023-08-17,,,,9.0,16.0,50.0,33.0,108.0
2435,2023-08-18,3.0,,1.0,5.0,18.0,47.0,40.0,114.0
2436,2023-08-19,1.0,1.0,,11.0,27.0,64.0,36.0,140.0
2437,2023-08-20,1.0,,,9.0,31.0,59.0,37.0,137.0
2438,2023-08-21,1.0,,,10.0,14.0,58.0,42.0,125.0
2439,2023-08-22,1.0,,,8.0,13.0,52.0,30.0,104.0
2440,2023-08-23,2.0,,,3.0,24.0,59.0,42.0,130.0
2441,2023-08-24,2.0,1.0,,10.0,17.0,59.0,39.0,128.0
2442,2023-08-25,3.0,,,7.0,22.0,61.0,43.0,136.0
2443,2023-08-26,1.0,,,6.0,21.0,66.0,35.0,129.0
2444,2023-08-27,,,,8.0,18.0,48.0,30.0,104.0
2445,2023-08-28,,,1.0,6.0,20.0,59.0,44.0,130.0
2446,2023-08-29,4.0,,,11.0,19.0,63.0,41.0,138.0
2447,2023-08-30,,,2.0,8.0,28.0,58.0,36.0,132.0
2448,2023-08-31,1.0,,3.0,15.0,17.0,68.0,40.0,144.0
2449,2023-09-01,1.0,,,6.0,22.0,70.0,50.0,149.0
2450,2023-09-02,,,,7.0,20.0,68.0,37.0,132.0
2451,2023-09-03,,,,15.0,22.0,64.0,33.0,134.0
2452,2023-09-04,,,,14.0,23.0,49.0,35.0,121.0
2453,2023-09-05,4.0,,2.0,5.0,26.0,53.0,39.0,129.0
2454,2023-09-06,1.0,,1.0,6.0,32.0,51.0,35.0,126.0
2455,2023-09-07,2.0,1.0,,12.0,20.0,49.0,39.0,123.0
2456,2023-09-08,3.0,,1.0,5.0,20.0,50.0,31.0,110.0
2457,2023-09-09,2.0,,1.0,11.0,25.0,67.0,42.0,148.0
2458,2023-09-10,2.0,,,7.0,22.0,49.0,34.0,114.0
2459,2023-09-11,,,1.0,7.0,31.0,63.0,47.0,149.0
2460,2023-09-12,,1.0,1.0,5.0,15.0,64.0,39.0,125.0
2461,2023-09-13,,,,3.0,21.0,40.0,44.0,108.0
2462,2023-09-14,1.0,,,8.0,23.0,59.0,37.0,128.0
2463,2023-09-15,3.0,,2.0,8.0,25.0,63.0,52.0,153.0
2464,2023-09-16,3.0,,1.0,9.0,18.0,55.0,42.0,128.0
2465,2023-09-17,1.0,1.0,,9.0,18.0,53.0,31.0,113.0
2466,2023-09-18,3.0,1.0,1.0,7.0,17.0,63.0,37.0,129.0
2467,2023-09-19,1.0,,,4.0,16.0,55.0,46.0,122.0
2468,2023-09-20,2.0,,,8.0,26.0,63.0,32.0,131.0
2469,2023-09-21,1.0,1.0,,15.0,17.0,51.0,47.0,132.0
2470,2023-09-22,1.0,1.0,1.0,6.0,17.0,62.0,45.0,133.0
2471,2023-09-23,,1.0,,7.0,24.0,62.0,39.0,133.0
2472,2023-09-24,,1.0,1.0,9.0,18.0,66.0,21.0,116.0
2473,2023-09-25,1.0,,,6.0,21.0,54.0,39.0,121.0
2474,2023-09-26,1.0,1.0,,7.0,30.0,68.0,44.0,151.0
2475,2023-09-27,1.0,,,8.0,21.0,55.0,33.0,118.0
2476,2023-09-28,2.0,,1.0,6.0,19.0,72.0,35.0,135.0
2477,2023-09-29,3.0,1.0,,10.0,19.0,69.0,43.0,145.0
2478,2023-09-30,1.0,1.0,,5.0,21.0,50.0,41.0,119.0
2479,2023-10-01,,,1.0,7.0,22.0,57.0,25.0,112.0
2480,2023-10-02,1.0,,,10.0,18.0,45.0,36.0,110.0
2481,2023-10-03,1.0,,,10.0,11.0,61.0,43.0,126.0
2482,2023-10-04,,,,6.0,23.0,68.0,35.0,132.0
2483,2023-10-05,1.0,,,4.0,22.0,54.0,37.0,118.0
2484,2023-10-06,,1.0,1.0,6.0,14.0,44.0,42.0,108.0
2485,2023-10-07,,1.0,,12.0,16.0,63.0,31.0,123.0
2486,2023-10-08,,,1.0,17.0,28.0,62.0,32.0,140.0
2487,2023-10-09,,,,5.0,24.0,69.0,45.0,143.0
2488,2023-10-10,,,1.0,6.0,14.0,62.0,41.0,124.0
2489,2023-10-11,,,1.0,7.0,22.0,58.0,36.0,124.0
2490,2023-10-12,3.0,1.0,,3.0,16.0,49.0,50.0,122.0
2491,2023-10-13,1.0,,,2.0,24.0,52.0,31.0,110.0
2492,2023-10-14,2.0,,,8.0,32.0,49.0,42.0,133.0
2493,2023-10-15,2.0,1.0,,11.0,19.0,47.0,47.0,127.0
2494,2023-10-16,2.0,,,7.0,23.0,53.0,43.0,128.0
2495,2023-10-17,,1.0,,6.0,22.0,59.0,47.0,135.0
2496,2023-10-18,,1.0,,8.0,23.0,62.0,30.0,124.0
2497,2023-10-19,4.0,,1.0,8.0,19.0,65.0,29.0,126.0
2498,2023-10-20,3.0,,,5.0,21.0,57.0,32.0,118.0
2499,2023-10-21,1.0,,,7.0,20.0,47.0,38.0,113.0
2500,2023-10-22,1.0,,,9.0,18.0,52.0,46.0,126.0
2501,2023-10-23,1.0,,,9.0,28.0,51.0,41.0,130.0
2502,2023-10-24,1.0,,,5.0,25.0,60.0,22.0,113.0
2503,2023-10-25,,1.0,,13.0,13.0,44.0,33.0,104.0
2504,2023-10-26,5.0,1.0,2.0,5.0,14.0,48.0,30.0,105.0
2505,2023-10-27,,,,5.0,16.0,58.0,31.0,110.0
2506,2023-10-28,1.0,2.0,,6.0,10.0,61.0,30.0,110.0
2507,2023-10-29,2.0,,,12.0,17.0,52.0,37.0,120.0
2508,2023-10-30,1.0,,,8.0,17.0,48.0,38.0,112.0
2509,2023-10-31,3.0,,,9.0,15.0,58.0,26.0,111.0
2510,2023-11-01,1.0,,,14.0,26.0,56.0,28.0,125.0
2511,2023-11-02,4.0,1.0,1.0,5.0,20.0,56.0,29.0,116.0
2512,2023-11-03,2.0,,,12.0,25.0,49.0,35.0,123.0
2513,2023-11-04,1.0,1.0,,6.0,28.0,61.0,37.0,134.0
2514,2023-11-05,,1.0,,11.0,13.0,62.0,37.0,124.0
2515,2023-11-06,2.0,,,7.0,21.0,67.0,40.0,137.0
2516,2023-11-07,2.0,,1.0,8.0,23.0,54.0,44.0,132.0
2517,2023-11-08,,,1.0,11.0,20.0,59.0,34.0,125.0
2518,2023-11-09,3.0,,,6.0,20.0,55.0,41.0,125.0
2519,2023-11-10,1.0,,1.0,10.0,15.0,52.0,49.0,128.0
2520,2023-11-11,2.0,,,10.0,13.0,62.0,37.0,124.0
2521,2023-11-12,4.0,,1.0,16.0,25.0,56.0,36.0,138.0
2522,2023-11-13,2.0,,,9.0,33.0,65.0,35.0,144.0
2523,2023-11-14,1.0,,,8.0,18.0,46.0,40.0,113.0
2524,2023-11-15,2.0,1.0,1.0,7.0,18.0,57.0,29.0,115.0
2525,2023-11-16,,,,6.0,22.0,49.0,26.0,103.0
